Generation,PSO_Fitness
0,5.991032380220457
1,5.991032380220457
2,1.4040984437861894
3,1.4040984437861894
4,1.4040984437861894
5,1.4040984437861894
6,1.4040984437861894
7,1.1494357347171444
8,1.1494357347171444
9,1.0183880570056907
10,1.010145487781255
11,1.010145487781255
12,0.9953535895926713
13,0.9953535895926713
14,0.9953535895926713
15,0.9953535895926713
16,0.9953535895926713
17,0.9953535895926713
18,0.9949769173199954
19,0.9949715395257996
20,0.9949715395257996
21,0.9949715395257996
22,0.9949715395257996
23,0.9949608141375528
24,0.9949608141375528
25,0.9949608141375528
26,0.9949592938855005
27,0.9949590778693675
28,0.9949590778693675
29,0.9949590778693675
30,0.9949590778693675
31,0.9949590778693675
32,0.9949590778693675
33,0.9949590778693675
34,0.9949590669329709
35,0.9949590669329709
36,0.9949590669185682
37,0.9949590612844155
38,0.9949590602467815
39,0.9949590602467815
40,0.9949590602467815
41,0.994959057359388
42,0.9949590572749472
43,0.9949590572749472
44,0.9949590572749472
45,0.9949590571177183
46,0.9949590571177183
47,0.9949590571177183
48,0.9949590571177183
49,0.9949590571090141
50,0.9949590571090141
51,0.9949590571090141
52,0.9949590570988214
53,0.994959057094416
54,0.994959057094416
55,0.994959057094416
56,0.994959057094416
57,0.994959057094416
58,0.9949590570934568
59,0.9949590570934568
60,0.9949590570933005
61,0.9949590570933005
62,0.9949590570933005
63,0.9949590570933005
64,0.9949590570933005
65,0.9949590570933005
66,0.9949590570933005
67,0.9949590570933005
68,0.9949590570933005
69,0.9949590570932969
70,0.9949590570932969
71,0.9949590570932898
72,0.9949590570932898
73,0.9949590570932898
74,0.9949590570932898
75,0.9949590570932898
76,0.9949590570932898
77,0.9949590570932898
78,0.9949590570932898
79,0.9949590570932898
80,0.9949590570932898
81,0.9949590570932898
82,0.9949590570932898
83,0.9949590570932898
84,0.9949590570932898
85,0.9949590570932898
86,0.9949590570932898
87,0.9949590570932898
88,0.9949590570932898
89,0.9949590570932898
90,0.9949590570932898
91,0.9949590570932898
92,0.9949590570932898
93,0.9949590570932898
94,0.9949590570932898
95,0.9949590570932898
96,0.9949590570932898
97,0.9949590570932898
98,0.9949590570932898
99,0.9949590570932898
